author,ngram,weight
VirginiaWoolf, she ,1.801151863535007
VirginiaWoolf, she,1.6928987292221618
VirginiaWoolf,” she,1.61049985893234
VirginiaWoolf,” sh,1.5608406436026818
VirginiaWoolf,"""",1.4523024619829152
VirginiaWoolf, her ,1.3877820789630584
VirginiaWoolf,She,1.352595083339232
VirginiaWoolf,She ,1.3257658285446237
VirginiaWoolf, She,1.2948574771925687
VirginiaWoolf, She ,1.2845672610183743
VirginiaWoolf,",” sh",1.2624215623240052
VirginiaWoolf,she,1.2450932375197163
VirginiaWoolf,Sh,1.2160590051136762
VirginiaWoolf, Sh,1.1887084433329769
VirginiaWoolf,. She,1.184054174892664
VirginiaWoolf,""" ",1.1828717902941803
VirginiaWoolf,she s,1.1600168457459494
VirginiaWoolf,. Sh,1.135805040850763
